datetime,open,high,low,close
2026-07-30 23:55:00+00:00,4100.55285,4109.92491,4100.55285,4107.91581
2026-07-31 00:00:00+00:00,4103.34053,4117.93774,4103.34053,4109.78271
2026-07-31 00:05:00+00:00,4110.3827,4110.47683,4092.3228,4093.44429
2026-07-31 00:10:00+00:00,4095.92682,4102.57238,4095.92682,4097.98129
2026-07-31 00:15:00+00:00,4098.54081,4099.44002,4093.01445,4093.96684
2026-07-31 00:20:00+00:00,4096.06044,4098.1927,4089.14332,4097.67189
2026-07-31 00:25:00+00:00,4096.93519,4096.93519,4087.25785,4095.08657
2026-07-31 00:30:00+00:00,4093.67583,4102.3958,4093.67583,4101.83581
2026-07-31 00:35:00+00:00,4100.76418,4105.25884,4099.88432,4103.84676
2026-07-31 00:40:00+00:00,4103.78127,4109.67247,4102.27468,4109.02756
2026-07-31 00:45:00+00:00,4108.20881,4110.48997,4102.05923,4102.93265
2026-07-31 00:50:00+00:00,4103.08822,4105.33598,4098.69661,4098.96395
2026-07-31 00:55:00+00:00,4099.55662,4100.88979,4097.35311,4099.30837
2026-07-31 01:00:00+00:00,4098.6825,4100.041,4097.18523,4099.04076
2026-07-31 01:05:00+00:00,4098.64399,4099.49597,4091.44453,4091.79684
2026-07-31 01:10:00+00:00,4092.32523,4092.32523,4083.6328,4083.94619
2026-07-31 01:15:00+00:00,4084.36962,4095.63531,4081.24046,4095.09342
2026-07-31 01:20:00+00:00,4094.40774,4096.51387,4094.40774,4095.52014
2026-07-31 01:25:00+00:00,4095.64012,4095.64012,4092.65777,4094.26034
2026-07-31 01:30:00+00:00,4094.18835,4096.17827,4092.9928,4096.02651
2026-07-31 01:35:00+00:00,4095.50746,4099.8729,4093.66301,4098.78717
2026-07-31 01:40:00+00:00,4098.80384,4101.89603,4098.62795,4101.5825
2026-07-31 01:45:00+00:00,4100.99612,4104.9218,4100.99612,4102.32188
2026-07-31 01:50:00+00:00,4102.44262,4108.29465,4097.19944,4105.93408
2026-07-31 01:55:00+00:00,4105.93449,4109.47645,4105.76449,4108.13816
2026-07-31 02:00:00+00:00,4108.29996,4114.46161,4107.61963,4113.88028
2026-07-31 02:05:00+00:00,4112.77452,4115.3957,4111.50399,4112.61543
2026-07-31 02:10:00+00:00,4112.42506,4116.07327,4110.15208,4115.58107
2026-07-31 02:15:00+00:00,4114.62204,4115.43058,4113.87198,4115.28022
2026-07-31 02:20:00+00:00,4115.05355,4118.09125,4114.21048,4114.40118
2026-07-31 02:25:00+00:00,4114.49134,4119.46447,4114.49134,4116.46047
2026-07-31 02:30:00+00:00,4116.6744,4117.08399,4114.03256,4116.61492
2026-07-31 02:35:00+00:00,4115.5639,4115.5639,4110.74848,4111.18393
2026-07-31 02:40:00+00:00,4112.08087,4112.46617,4109.00083,4109.32869
2026-07-31 02:45:00+00:00,4109.83982,4109.83982,4107.55677,4108.93982
2026-07-31 02:50:00+00:00,4108.37249,4109.79496,4107.54134,4108.63116
2026-07-31 02:55:00+00:00,4108.45441,4110.99692,4106.94484,4109.17571
2026-07-31 03:00:00+00:00,4109.45777,4111.07569,4107.48372,4107.74905
2026-07-31 03:05:00+00:00,4108.27049,4108.59913,4107.11352,4108.47696
2026-07-31 03:10:00+00:00,4108.24279,4108.68951,4106.28305,4106.61582
2026-07-31 03:15:00+00:00,4107.09325,4107.09325,4104.35248,4105.99276
2026-07-31 03:20:00+00:00,4106.0042,4107.78837,4104.52226,4107.63055
2026-07-31 03:25:00+00:00,4107.21253,4108.98169,4101.49525,4102.76765
2026-07-31 03:30:00+00:00,4105.48704,4105.48704,4099.53675,4101.35619
2026-07-31 03:35:00+00:00,4101.28081,4108.29465,4099.59088,4102.60311
2026-07-31 03:40:00+00:00,4103.27369,4106.27027,4103.27369,4103.84823
2026-07-31 03:45:00+00:00,4104.52466,4108.80105,4104.52466,4106.4888
2026-07-31 03:50:00+00:00,4106.5701,4108.16608,4102.73242,4104.14794
